New-Identifiers-words-AVG,New-Identifiers-words-MIN,New-Abstractness-words-AVG,New-Abstractness-words-MAX,New-Abstractness-words-MIN,New-Commented-words-AVG,New-Commented-words-MAX,New-Synonym-commented-words-AVG,New-Synonym-commented-words-MAX,New-Comments-readability,New-Number-of-senses-AVG,New-Number-of-senses-MAX,New-Semantic-Text-Coherence-Standard-@-0.1,New-Semantic-Text-Coherence-Normalized-@-0.3,New-Text-Coherence-AVG,New-Text-Coherence-MIN,New-Text-Coherence-MAX,BW-Avg-Identifiers-Length,BW-Max-Identifiers-Length,BW-Avg-number-of-identifiers,BW-Max-number-of-identifiers,BW-Max-Single-identifiers,BW-Avg-operators,BW-Avg-comparisons,BW-Avg-Assignment,BW-Avg-commas,BW-Avg-periods,BW-Avg-parenthesis,BW-Max-keywords,BW-Avg-keywords,BW-Max-numbers,BW-Avg-numbers,BW-Avg-loops,BW-Avg-conditionals,BW-Avg-spaces,BW-Max-indentation,BW-Avg-indentation,BW-Avg-comments,BW-Max-char,BW-Avg-blank-lines,BW-Max-line-length,BW-Avg-line-length,Readable
0.882353,0,3.733333,10,0,0,0,1.434783,4,0,9.882353,29,6,0.833333,0,1,0,6.8889,13,1.1818,5,4,0,0,0.1818,0.0909,0.1818,0.6364,2,0.5455,0,0,0,0.0909,1.0909,6,3.2,0,17,0.0909,59,26.4545,2.99
0.848485,0,5.357143,9,0,0.151515,1,2.078947,5,0,10.181818,37,5,0.833333,0,0,0,6.9,11,1.5455,5,4,0,0.2727,0.1818,0,0.7273,1.0909,1,0.3636,1,0.4545,0,0.2727,1.7273,4,2.4444,0,19,0.1818,66,26.3636,3.74
0.805556,0,5.242424,9,0,0.083333,1,1.974359,7,0,6.444444,22,6,1,0,1,0,10.1818,19,2.7143,9,5,0.8571,0.2857,0.4286,0.1429,0.2857,1.1429,1,0.4286,1,0.4286,0,0.2857,3.8571,4,2.4286,0,17,0,110,46.1429,2.69
0.875,0,7.142857,10,3,0.041667,1,1.576923,4,100,6.5,17,5,1,0,1,0,9.5455,15,1,5,2,0,0,0.2143,0.1429,0,0.2143,1,0.1429,0,0,0,0,1.8571,3,1.2308,0.5,20,0.0714,77,35.2857,4.03
0.882353,0,4.066667,15,0,0.176471,1,0.75,3,100,11.235294,45,5,1,0.641689,1,0.641689,8.875,20,0.7,2,1,0,0,0,0,0.3,0.8,2,0.3,1,0.1,0,0.1,0.9,3,1.4,0.3,11,0,51,23.2,4.19
0.333333,0,3.2,6,0,0.133333,1,1,4,0,2.866667,15,3,0.75,0,1,0,8.6667,13,1.2,2,2,0,0,0.4,0,0,1,2,0.6,1,0.4,0,0.4,2.6,1,0.6,0,8,0,40,22.2,2.19
0.458333,0,4.5,7,0,0.541667,2,2.896552,8,100,4.791667,37,4,1,0,1,0,5.4444,13,1.4167,8,3,0.3333,0,0.25,0,0.4167,0.4167,2,0.4167,5,0.3333,0,0,2,1,0.2727,0.5,15,0.0833,68,25.6667,3.63
0.833333,0,3.863636,10,0,0,0,2.071429,4,0,9.166667,57,4,1,0,1,0,8,16,3.4,8,4,0,0,0.4,1.2,0.6,0.8,3,0.8,0,0,0,0,2.8,2,1.2,0,22,0,101,41.8,2.86
0.833333,0,4.333333,9,0,0.333333,1,2.25,7,100,5.25,37,5,1,0,1,0,6.6667,15,1.5455,5,3,0,0,0.2727,0,0.3636,0.9091,2,0.3636,0,0,0.0909,0,2.1818,3,1.3333,0.2727,19,0.1818,79,27.7273,4.13
0.794118,0,4.689655,11,0,0,0,0.272727,2,100,9.764706,37,7,1,0.267261,1,0.267261,9,24,1.2308,4,4,0,0,0,0,0.5385,0.6923,2,0.6923,1,0,0,0.0769,1.1538,3,2,0.0769,26,0,52,26.5385,3.35
0.823529,0,4.642857,8,0,0,0,0.952381,2,0,7.235294,21,5,1,0,0,0,9.5,22,0.75,2,2,0.25,0.125,0.125,0,0,0.25,2,0.5,0,0,0,0.125,1.625,4,1.8571,0,13,0.125,62,22.5,3.64
0.888889,0,4.3125,10,0,0,0,0.526316,2,0,10.333333,45,3,1,0,1,0,7.4444,16,1.375,5,2,0,0,0,0.125,0.5,0.5,0,0,0,0,0,0,0.125,2,1.4286,0,9,0.125,47,16.75,3.54
0.918919,0,3.147059,8,0,0.027027,1,4.8125,14,0,7.297297,31,7,1,0,1,0,7.6667,12,2.5455,6,7,0.3636,0.3636,0.0909,0.2727,0,0.6364,4,1,0,0,0,0.2727,4.5455,3,1.6364,0,41,0,85,40.0909,3.04
0.952381,0,4.3,10,0,0.190476,1,2.076923,5,100,8.666667,17,5,1,0.620174,1,0.620174,7.6667,13,1.0833,4,3,0,0.0833,0.0833,0,0.25,0.5,1,0.3333,0,0,0,0.0833,1.5,2,1.75,0.0833,18,0.3333,57,20.4167,4.05
