id,avg_identifier_length,max_identifier_length,avg_identifier,max_identifier,max_single_identifier,avg_arithmetic,avg_comparison,avg_assignment,avg_comma,avg_dot,avg_bracket,max_keyword,avg_keyword,max_number,avg_number,avg_loop,avg_if,avg_space,max_indentation,avg_indentation,avg_comment,max_single_char,avg_blank,max_line_length,avg_line_length,score
Dorn0,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
Dorn1,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
Dorn10,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
Dorn100,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
Dorn101,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
Dorn102,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
Dorn103,,,,,,,,,,,,,,,,,,,,,,,,,,1.71
Dorn104,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Dorn105,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
Dorn106,,,,,,,,,,,,,,,,,,,,,,,,,,3.24
Dorn107,,,,,,,,,,,,,,,,,,,,,,,,,,4.13
Dorn108,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
Dorn109,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Dorn11,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
Dorn110,,,,,,,,,,,,,,,,,,,,,,,,,,3.72
Dorn111,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
Dorn112,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
Dorn113,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
Dorn114,,,,,,,,,,,,,,,,,,,,,,,,,,3.57
Dorn115,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
Dorn116,,,,,,,,,,,,,,,,,,,,,,,,,,3.02
Dorn117,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
Dorn118,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
Dorn119,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
Dorn12,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
Dorn120,,,,,,,,,,,,,,,,,,,,,,,,,,3.53
Dorn121,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
Dorn122,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
Dorn123,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
Dorn124,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
Dorn125,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
Dorn126,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Dorn127,,,,,,,,,,,,,,,,,,,,,,,,,,4.18
Dorn128,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
Dorn129,,,,,,,,,,,,,,,,,,,,,,,,,,3
Dorn13,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
Dorn130,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
Dorn131,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
Dorn132,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
Dorn133,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
Dorn134,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
Dorn135,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Dorn136,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
Dorn137,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
Dorn138,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
Dorn139,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
Dorn14,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
Dorn140,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
Dorn141,,,,,,,,,,,,,,,,,,,,,,,,,,3.82
Dorn142,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
Dorn143,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
Dorn144,,,,,,,,,,,,,,,,,,,,,,,,,,3.88
Dorn145,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
Dorn146,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Dorn147,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
Dorn148,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
Dorn149,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
Dorn15,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
Dorn150,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
Dorn151,,,,,,,,,,,,,,,,,,,,,,,,,,3.69
Dorn152,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
Dorn153,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
Dorn154,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
Dorn155,,,,,,,,,,,,,,,,,,,,,,,,,,2.27
Dorn156,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Dorn157,,,,,,,,,,,,,,,,,,,,,,,,,,3.72
Dorn158,,,,,,,,,,,,,,,,,,,,,,,,,,3.58
Dorn159,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Dorn16,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Dorn160,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
Dorn161,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
Dorn162,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
Dorn163,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
Dorn164,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
Dorn165,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
Dorn166,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
Dorn167,,,,,,,,,,,,,,,,,,,,,,,,,,3.53
Dorn168,,,,,,,,,,,,,,,,,,,,,,,,,,3.73
Dorn169,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Dorn17,,,,,,,,,,,,,,,,,,,,,,,,,,3.53
Dorn170,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
Dorn171,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
Dorn172,,,,,,,,,,,,,,,,,,,,,,,,,,3.62
Dorn173,,,,,,,,,,,,,,,,,,,,,,,,,,3.69
Dorn174,,,,,,,,,,,,,,,,,,,,,,,,,,3.72
Dorn175,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
Dorn176,,,,,,,,,,,,,,,,,,,,,,,,,,3.69
Dorn177,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
Dorn178,,,,,,,,,,,,,,,,,,,,,,,,,,3.28
Dorn179,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
Dorn18,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
