id,avg_identifier_length,max_identifier_length,avg_identifier,max_identifier,max_single_identifier,avg_arithmetic,avg_comparison,avg_assignment,avg_comma,avg_dot,avg_bracket,max_keyword,avg_keyword,max_number,avg_number,avg_loop,avg_if,avg_space,max_indentation,avg_indentation,avg_comment,max_single_char,avg_blank,max_line_length,avg_line_length,score
Dorn0,10.1154,21.0,0.902,4.0,5.0,0.0,0.0392,0.1569,0.0196,0.1961,0.6471,2.0,0.4118,1.0,0.0196,0.0,0.1176,1.0784,4.0,2.3,0.0,75.0,0.2157,62.0,22.0,3.54
Dorn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn105,9.6957,23.0,2.5455,6.0,3.0,0.0909,0.0,0.2727,1.5455,0.1818,0.2727,1.0,0.0909,1.0,0.0909,0.0,0.0,2.1818,3.0,2.1,0.0,42.0,0.0909,80.0,41.7273,2.88
Dorn106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn107,17.8333,25.0,0.4118,3.0,4.0,0.0392,0.0,0.0588,0.0,0.0588,0.2353,2.0,0.2941,0.0,0.0,0.0,0.0,0.6078,2.0,1.1087,0.4902,73.0,0.098,75.0,23.9804,4.13
Dorn108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn109,13.16,30.0,1.1667,5.0,4.0,0.0,0.0,0.1333,0.0333,0.3333,0.6,4.0,0.5,0.0,0.0,0.0,0.0,2.3667,3.0,0.6786,0.1,57.0,0.0667,91.0,30.3,3.4
Dorn11,6.3333,9.0,0.5455,2.0,1.0,0.0,0.0,0.0,0.0,0.1818,0.6364,1.0,0.3636,1.0,0.0909,0.0,0.0909,0.5455,5.0,2.7,0.0,10.0,0.0909,54.0,18.5455,3.54
Dorn110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn111,21.0769,35.0,0.4118,2.0,8.0,0.0,0.0,0.0,0.0196,0.0,0.3725,2.0,0.2941,0.0,0.0,0.0,0.0,0.5098,2.0,1.1915,0.0,66.0,0.0784,41.0,15.9608,3.07
Dorn112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn114,10.7692,18.0,1.2903,5.0,6.0,0.0645,0.0323,0.129,0.129,0.0968,0.5484,3.0,0.5161,0.0,0.0,0.0,0.0645,1.5484,3.0,1.44,0.0,66.0,0.1935,74.0,24.3871,3.57
Dorn115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn118,12.1111,29.0,1.0645,4.0,12.0,0.0,0.0,0.0,0.0968,0.2581,0.7419,4.0,0.5484,0.0,0.0,0.0,0.0,0.9677,4.0,2.12,0.0,67.0,0.1935,69.0,22.5806,3.21
Dorn119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorn12,11.8,29.0,2.2157,11.0,10.0,0.0196,0.0196,0.2353,0.3333,0.5098,0.8235,7.0,0.4314,1.0,0.0196,0.0196,0.0196,1.6275,6.0,2.4167,0.0392,176.0,0.0588,224.0,46.9412,2.94
Dorn120,8.0,10.0,0.2727,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2727,3.0,0.6364,0.0,0.0,0.0,0.0,0.6364,0.0,0.7778,0.4545,9.0,0.1818,55.0,19.5455,3.53
Dorn121,10.5625,24.0,1.3226,4.0,9.0,0.0,0.129,0.3548,0.0,0.4516,0.5806,1.0,0.1613,1.0,0.0323,0.0,0.1613,1.3871,3.0,2.0435,0.0,75.0,0.2581,75.0,27.1935,3.38
Dorn122,6.3333,9.0,0.5455,2.0,1.0,0.0,0.0,0.0,0.0,0.1818,0.5455,1.0,0.1818,1.0,0.0909,0.0,0.0909,0.3636,7.0,3.0,0.0,13.0,0.0909,75.0,22.1818,2.78
