id,avg_identifier_length,max_identifier_length,avg_identifier,max_identifier,max_single_identifier,avg_arithmetic,avg_comparison,avg_assignment,avg_comma,avg_dot,avg_bracket,max_keyword,avg_keyword,max_number,avg_number,avg_loop,avg_if,avg_space,max_indentation,avg_indentation,avg_comment,max_single_char,avg_blank,max_line_length,avg_line_length,score
Buse1,6.8889,13,1.1818,5,4,0.0,0.0,0.1818,0.0909,0.1818,0.6364,2,0.5455,0,0.0,0.0,0.0909,1.0909,6,3.2,0.0,17,0.0909,59,26.4545,2.99
Buse10,9.0,24,1.2308,4,4,0.0,0.0,0.0,0.0,0.5385,0.6923,2,0.6923,1,0.0,0.0,0.0769,1.1538,3,2.0,0.0769,26,0.0,52,26.5385,3.35
Buse100,8.6,36,3.1111,6,4,0.3333,0.1111,0.1111,0.1111,1.0,1.8889,4,0.8889,1,0.1111,0.1111,0.2222,3.4444,5,2.6667,0.0,47,0.0,118,57.1111,2.13
Buse11,9.5,22,0.75,2,2,0.25,0.125,0.125,0.0,0.0,0.25,2,0.5,0,0.0,0.0,0.125,1.625,4,1.8571,0.0,13,0.125,62,22.5,3.64
Buse12,7.4444,16,1.375,5,2,0.0,0.0,0.0,0.125,0.5,0.5,0,0.0,0,0.0,0.0,0.0,0.125,2,1.4286,0.0,9,0.125,47,16.75,3.54
Buse13,7.6667,12,2.5455,6,7,0.3636,0.3636,0.0909,0.2727,0.0,0.6364,4,1.0,0,0.0,0.0,0.2727,4.5455,3,1.6364,0.0,41,0.0,85,40.0909,3.04
Buse14,7.6667,13,1.0833,4,3,0.0,0.0833,0.0833,0.0,0.25,0.5,1,0.3333,0,0.0,0.0,0.0833,1.5,2,1.75,0.0833,18,0.3333,57,20.4167,4.05
Buse15,9.8462,19,3.8333,7,6,0.3333,0.0,0.3333,0.8333,1.5,2.0,2,0.5,2,0.5,0.0,0.0,2.5,4,1.6667,0.0,26,0.0,98,53.8333,1.83
Buse16,11.7143,18,1.6667,4,2,0.0,0.1667,0.3333,0.0,0.5,0.6667,1,0.5,0,0.0,0.0,0.1667,2.3333,3,1.4,0.0,16,0.1667,73,32.1667,2.9
Buse17,7.1,18,1.75,4,3,0.125,0.125,0.625,0.0,0.125,0.75,2,0.5,1,0.125,0.125,0.0,2.5,4,1.8571,0.0,18,0.125,61,26.75,3.74
Buse18,5.9333,14,2.5,7,2,0.125,0.0,0.25,0.0,0.375,0.75,1,0.375,0,0.0,0.0,0.0,1.5,2,1.125,0.375,21,0.0,63,34.5,2.47
Buse19,7.8,14,2.1,9,5,0.0,0.0,0.3,0.6,0.0,0.3,3,0.6,0,0.0,0.0,0.0,5.6,3,1.3333,0.3,18,0.1,76,30.1,3.55
